cell_nm	batch_id	batch_name	cond	f_no_digestion	mean_f_fend_dup	max_chrom_cov_abber	f_trans	trans_align	total_contacts	cis_ab_comp	trans_ab_comp	passed_qc	mean_insu	loop_enr_EE	loop_enr_LL	ord	group	f_mitotic_band	f_near_band	far_mu	repli_score
1CDU_1	11	1CDU_2312	1CDU	0.234231097	0.024751954	0.27887212699999997	0.11366799400000001	0.23423069300000002	83348	0.5986370320000001	0.278006394	1	2.580145313	0.415037499	0.39733549799999995	846.0	early-S	0.12400242300000001	0.6991597970000001	26099026.25	1.210399187
1CDU_2	11	1CDU_2312	1CDU	0.21617255	0.017594646999999998	0.37885795299999997	0.094847388	0.204003913	214629	0.417804587	0.433080364	1	2.5514231659999997	0.546692484	0.621488377	501.0	early-S	0.132540508	0.671155594	30249812.5	1.034900233
1CDU_4	11	1CDU_2312	1CDU	0.190065117	0.015666648999999998	0.440534762	0.098173499	0.221388164	134191	0.38518126399999997	0.32988288600000004	1	2.590607064	0.046542586	1.257387843	863.0	early-S	0.11965243699999999	0.708152626	29919000.08	1.201354147
1CDU_5	11	1CDU_2312	1CDU	0.275767516	0.019523268	0.479996625	0.07988767599999999	0.218922388	59471	0.365960558	0.20514634699999998	1	2.5037289780000003	1.548436625	1.2954558840000001	278.0	G1	0.151458925	0.6071818379999999	26405727.93	1.1223293909999998
1CDU_7	11	1CDU_2312	1CDU	0.23720983899999998	0.020137092	0.344836744	0.08372621599999999	0.220890872	130234	0.508420704	0.347339324	1	2.204178605	0.882762325	0.8042755290000001	1484.0	late-S/G2	0.09075595199999999	0.8059744590000001	25623027.85	1.228757116
1CDU_8	11	1CDU_2312	1CDU	0.270244696	0.024001121	0.329283302	0.09793948699999999	0.281621097	264837	0.328194455	0.318278682	1	2.493113241	0.539874611	0.788495895	977.0	early-S	0.10952908900000001	0.729068767	30953435.98	1.217286466
1CDU_12	11	1CDU_2312	1CDU	0.233164757	0.018580298000000002	0.14238161800000002	0.058209415	0.195380362	126629	0.410061333	0.21371045600000002	1	2.463526683	0.94753258	1.026967048	328.0	G1	0.143199049	0.623550484	26828208.76	1.126454828
1CDU_13	11	1CDU_2312	1CDU	0.250083717	0.020190103	0.188677578	0.11360744199999999	0.061067505	113944	0.505353423	0.349515257	1	2.4869245909999997	0.040641984	0.937264245	985.0	early-S	0.10431989	0.721793421	36741492.04	1.236322786
1CDU_14	11	1CDU_2312	1CDU	0.268308616	0.017619129	0.41365310299999997	0.096383001	0.03032354	56898	0.284963977	0.280526972	1	2.5592185290000002	0.977279923	0.646363045	431.0	G1	0.121826619	0.638536833	36097349.7	1.1325615690000002
1CDU_16	11	1CDU_2312	1CDU	0.187442776	0.01812608	0.259689032	0.10284718699999999	0.124850777	115939	0.485106186	0.529630142	1	2.496671719	0.15795236	0.906890596	1176.0	early-S	0.089805736	0.7784326690000001	30657531.18	1.257828543
1CDU_17	11	1CDU_2312	1CDU	0.34928952	0.006917179	0.176847074	0.09898398300000001	0.208675599	22538	0.573501924	0.281723981	1	2.603356276	1.08246216	1.584962501	868.0	early-S	0.098347487	0.7232040390000001	29846506.75	1.172061711
1CDU_18	11	1CDU_2312	1CDU	0.459279039	0.018435418000000002	0.39664542799999997	0.073963398	0.252205429	59232	0.43817391299999997	0.38652800200000004	1	2.564103007	1.4329594069999998	1.469485283	802.0	early-S	0.110000532	0.7317773409999999	28395189.74	1.118500595
1CDU_21	11	1CDU_2312	1CDU	0.529891707	0.014576691000000001	0.317209801	0.076501112	0.32063211399999997	20235	0.238041609	0.150195129	1	2.346357523	0.710493383	2.1699250009999997	966.0	early-S	0.13621851699999998	0.701844626	25689823.89	1.269064916
1CDU_23	11	1CDU_2312	1CDU	0.259836439	0.019217513999999998	0.423724135	0.085490157	0.153144386	101345	0.437263185	0.420963562	1	2.604244127	0.8990710909999999	1.191298652	776.0	early-S	0.110015048	0.70991473	32128898.38	1.146190281
1CDU_24	11	1CDU_2312	1CDU	0.235578448	0.016121627	0.435325154	0.051327882000000005	0.308584146	78884	0.33877379799999996	0.178029414	1	2.454556406	1.2954558840000001	0.8969065070000001	79.0	G1	0.193460556	0.5107358670000001	21634828.09	1.146394253
1CDU_25	11	1CDU_2312	1CDU	0.24380587399999998	0.022479467000000003	0.350630318	0.124549409	0.20029733800000002	134268	0.489472884	0.20121619	1	2.32613091	0.622437206	1.065588342	1212.0	early-S	0.11002007400000001	0.749648712	26039071.46	1.346028882
1CDU_26	11	1CDU_2312	1CDU	0.20505006899999997	0.018623029	0.260917193	0.10041052800000001	0.14868641	127397	0.563842515	0.342632848	1	2.4897395369999997	0.89862298	1.0544477840000002	930.0	early-S	0.11499099900000001	0.721150883	29059828.97	1.212944915
1CDU_27	11	1CDU_2312	1CDU	0.264185392	0.019341553	0.339188618	0.102317869	0.304677776	83826	0.40839571700000005	0.345947241	1	2.542511338	0.9893527559999999	0.72935241	295.0	G1	0.144185203	0.617655437	25979623.89	1.082522416
1CDU_28	11	1CDU_2312	1CDU	0.356611413	0.013652423	0.35380895799999995	0.06810321	0.25790042399999996	28912	0.545491254	0.21495956	1	2.487937741	1.2630344059999998	1.584962501	602.0	early-S	0.119592875	0.66259542	26516489.15	1.1189790609999999
1CDU_31	11	1CDU_2312	1CDU	0.261285695	0.021319495	0.17664992399999999	0.089329108	0.119236224	140738	0.457547593	0.338636559	1	2.5293067590000002	0.8990710909999999	0.520832163	571.0	early-S	0.119233903	0.669950966	35078636.82	1.0840978959999998
1CDU_32	11	1CDU_2312	1CDU	0.17168713	0.017006777	0.352683158	0.11558779999999999	0.158226016	141970	0.396985859	0.308218559	1	2.505676359	0.761119456	1.148863386	598.0	early-S	0.13297916699999998	0.639724084	31811741.21	1.16342354
1CDU_33	11	1CDU_2312	1CDU	0.264177809	0.03913621	0.126006213	0.08335006	0.17946625	298932	0.556297551	0.27827297300000003	1	2.098771721	0.086156644	0.745898719	1597.0	late-S/G2	0.078370386	0.813408482	31388512.71	1.137095893
1CDU_35	11	1CDU_2312	1CDU	0.188723058	0.016511983	0.436360515	0.093234223	0.348768539	106817	0.26315792	0.04754169900000001	1	2.3935400469999997	0.548436625	0.16992500100000002	67.0	G1	0.210301335	0.515436171	18396050.42	1.1459596840000001
1CDU_36	11	1CDU_2312	1CDU	0.23633023600000003	0.016611976	0.781552529	0.11310391	0.191119955	92667	0.41676584899999997	0.294912081	1	2.59718815	0.444099965	0.816288047	638.0	early-S	0.11789609599999999	0.65836682	32965008.87	1.153983969
1CDU_37	11	1CDU_2312	1CDU	0.242227962	0.016827095	0.389954332	0.070068586	0.255250721	75526	0.393061941	0.320505721	1	2.4151777009999997	1.037474705	0.263034406	103.0	G1	0.174617159	0.530899386	22651873.5	1.111488933
1CDU_38	11	1CDU_2312	1CDU	0.249949146	0.023409995	0.303138013	0.105985132	0.369821171	157390	0.317949011	0.262835319	1	2.27320086	0.772048053	0.710493383	1346.0	late-S/G2	0.10591908800000001	0.788107042	23652120.22	1.301686746
1CDU_41	11	1CDU_2312	1CDU	0.219192076	0.027918025	0.214667517	0.09365969699999999	0.156083857	205905	0.45240493200000004	0.274172567	1	2.179161621	0.653909854	0.479609501	1186.0	early-S	0.10763460400000001	0.749112928	30306031.56	1.323021172
1CDU_42	11	1CDU_2312	1CDU	0.294038019	0.017334523	0.162672387	0.07220153900000001	0.17848945600000002	51841	0.460488519	0.542050505	1	2.576606848	0.646363045	1.3923174230000002	487.0	early-S	0.125944262	0.6444027139999999	32751602.01	1.07786602
1CDU_43	11	1CDU_2312	1CDU	0.26193155100000004	0.020026376999999998	0.30183339	0.061082435	0.18807375199999998	97835	0.24451124899999999	-0.014357981	1	2.450316286	0.652076697	0.754887502	111.0	G1	0.167396984	0.506140838	25990670.42	1.152907277
1CDU_44	11	1CDU_2312	1CDU	0.206796819	0.012220768	0.36482651299999996	0.1114912	0.064522618	22217	0.27009529600000004	0.348997416	1	2.4828533999999998	-0.353636955	1.169925001	378.0	G1	0.156378234	0.591793042	33608861.27	1.0812875259999999
1CDU_48	11	1CDU_2312	1CDU	0.210968839	0.029421622	0.36465758200000004	0.110028258	0.156509306	231795	0.536334219	0.275816516	1	2.536822292	0.796466606	1.0506260729999999	1014.0	early-S	0.10619784199999999	0.7252606779999999	32367143.7	1.243674459
1CDU_52	11	1CDU_2312	1CDU	0.271997305	0.020747	0.203130493	0.090303471	0.131482312	92167	0.5148050000000001	0.248880762	1	2.376202695	0.263034406	0.491853096	1156.0	early-S	0.104208467	0.756194823	30349588.29	1.288996375
1CDU_53	11	1CDU_2312	1CDU	0.235964888	0.026871084	0.465583672	0.100050382	0.40948298	142908	0.45741630299999997	0.33227822100000004	1	2.208879594	0.8479969070000001	1.169925001	1327.0	late-S/G2	0.09836746800000001	0.792341941	22241995.24	1.457709205
1CDU_54	11	1CDU_2312	1CDU	0.266674068	0.01760424	0.405035851	0.09118103300000001	0.15317229699999999	72208	0.402477091	0.28199857300000003	1	2.5569824580000002	1.222392421	0.812372997	959.0	early-S	0.104604213	0.7401483609999999	31784325.92	1.187546229
1CDU_55	11	1CDU_2312	1CDU	0.24202981699999998	0.016686995	0.472695396	0.109022933	0.174115525	69811	0.395409364	0.031842412	1	2.472044698	0.767826558	0.906890596	665.0	early-S	0.13690154400000001	0.653631285	28316439.42	1.186457205
1CDU_56	11	1CDU_2312	1CDU	0.26355160899999996	0.016219629	0.208587009	0.10454180800000001	0.256500133	72306	0.40867636799999996	0.3240094	1	2.55583456	0.8479969070000001	0.754887502	810.0	early-S	0.112084171	0.699953582	30567097.4	1.191235357
1CDU_57	11	1CDU_2312	1CDU	0.251255141	0.016461563999999998	0.509789547	0.086298279	0.322903626	74903	0.442392768	0.103562406	1	2.502027739	0.8275328040000001	0.7776075790000001	223.0	G1	0.15557765099999998	0.582180241	25970211.33	1.156958085
1CDU_58	11	1CDU_2312	1CDU	0.25840561300000003	0.022169149	0.344360924	0.096295175	0.176916575	99060	0.49700417799999996	0.449957192	1	2.455567225	0.824150165	0.362570079	1296.0	early-S	0.090169585	0.783124224	28407772.82	1.3474472769999999
1CDU_61	11	1CDU_2312	1CDU	0.23360150600000001	0.020709743	0.206040108	0.10462760900000001	0.13273159699999998	89355	0.397640472	0.311565195	1	2.111900034	0.8969065070000001	0.537656786	1369.0	late-S/G2	0.08401525	0.799632695	30194815.17	1.391144816
1CDU_62	11	1CDU_2312	1CDU	0.242498082	0.017171346	0.21579517899999998	0.070443406	0.233766566	96503	0.42550941600000003	0.371226846	1	2.589936945	0.263034406	0.906890596	288.0	G1	0.145425723	0.610404238	26324730.31	1.114128682
1CDU_63	11	1CDU_2312	1CDU	0.20152297	0.017790072	0.497368015	0.091748296	0.33976709	127610	0.297979035	0.25205051100000003	1	2.5322393969999997	0.667424661	0.469485283	260.0	G1	0.146441091	0.598780674	26445959.27	1.122873602
1CDU_64	11	1CDU_2312	1CDU	0.49204681899999997	0.020301361	0.199334247	0.07132306	0.100870835	100192	0.48190511	0.459092063	1	2.289728954	0.91753784	1.311944006	1098.0	early-S	0.109633174	0.73476874	35375087.77	1.2902930000000001
1CDU_65	11	1CDU_2312	1CDU	0.251358281	0.017023816	0.255803627	0.095702607	0.158045883	75347	0.44763481200000005	0.057390409	1	2.639647432	0.150025444	1.276840205	351.0	G1	0.133779169	0.6155663060000001	28456976.16	1.164078526
1CDU_66	11	1CDU_2312	1CDU	0.23727113100000002	0.023199132999999997	0.259549553	0.089854104	0.176118306	143733	0.41401360299999995	0.265478644	1	2.181155932	0.725825037	0.678071905	1330.0	late-S/G2	0.086980259	0.789761788	32411006.79	1.407745246
1CDU_67	11	1CDU_2312	1CDU	0.23745481	0.017988199	0.238170628	0.107014957	0.306099734	94940	0.40564131700000006	0.316919752	1	2.505544127	0.476902755	1.017921908	925.0	early-S	0.11301479699999999	0.7212423840000001	25889182.01	1.209086174
1CDU_68	11	1CDU_2312	1CDU	0.254600412	0.020506876	0.430227632	0.105212515	0.228157418	90416	0.552101935	0.285476952	1	2.471298977	-0.095419565	1.2954558840000001	1134.0	early-S	0.114840815	0.714035001	27763450.87	1.361447946
1CDU_72	11	1CDU_2312	1CDU	0.257237245	0.016689635	0.419558989	0.06699352	0.371213685	88113	0.398526315	0.20144179999999998	1	2.5099006630000003	1.028569152	1.282399731	117.0	G1	0.177884387	0.572127488	19906563.57	1.117956269
1CDU_73	11	1CDU_2312	1CDU	0.204622745	0.016165587	0.440988362	0.095643286	0.101949505	120343	0.392924015	0.261130814	1	2.566084476	1.026967048	0.9161684090000001	475.0	early-S	0.125439236	0.6389146720000001	32829334.16	1.082050144
1CDU_74	11	1CDU_2312	1CDU	0.250159752	0.01642231	0.458983746	0.08283048700000001	0.021329808999999998	87999	0.395839545	0.24047465199999998	1	2.6537467930000003	1.2840960209999999	0.06558834200000001	538.0	early-S	0.114479496	0.660326808	35229821.01	1.08523809
1CDU_75	11	1CDU_2312	1CDU	0.22984244899999998	0.038176159	0.268184331	0.132031329	0.176019868	338094	0.508528375	0.19605002100000002	1	2.573562865	0.597035333	0.706524481	771.0	early-S	0.116655374	0.683990275	30587919.56	1.196280825
1CDU_76	11	1CDU_2312	1CDU	0.23379735100000001	0.014259288	0.9288899820000001	0.12233652199999999	0.13561700000000002	85837	0.363507709	0.280965245	1	2.623326269	0.7338258870000001	0.96829114	770.0	early-S	0.120881141	0.7036259090000001	31549790.92	1.155429494
1CDU_77	11	1CDU_2312	1CDU	0.24538147100000002	0.017464161000000002	0.268923907	0.09722032	0.276648712	87636	0.572417802	0.317356745	1	2.434738821	0.9219974879999999	0.67516031	1175.0	early-S	0.096631568	0.7811030459999999	24663441.46	1.2517093959999999
1CDU_78	11	1CDU_2312	1CDU	0.243454399	0.016713753999999997	0.308016693	0.10988853400000001	0.089796794	83703	0.394631945	0.233419175	1	2.6542074280000003	0.7369655940000001	1.343954401	609.0	early-S	0.134426485	0.655033522	32764022.34	1.140563335
1CDU_82	11	1CDU_2312	1CDU	0.32375875	0.017274775	0.305237994	0.086393089	0.088173826	40281	0.495796478	0.44167057	1	2.465801531	0.584962501	1.2630344059999998	468.0	early-S	0.138043605	0.633146788	33902152.92	1.088190021
1CDU_83	11	1CDU_2312	1CDU	0.364665405	0.016620876	0.33573245399999996	0.08872547300000001	0.36110458799999995	29101	0.37086350100000004	0.314150293	1	2.472674553	1.4329594069999998	1.7104933830000002	1013.0	early-S	0.109389079	0.713642098	29609177.51	1.267548092
1CDU_84	11	1CDU_2312	1CDU	0.234352356	0.033708561	0.156395345	0.083131353	0.21878679199999998	276430	0.39570294799999994	0.28547891	1	2.540233918	0.7130673259999999	0.796466606	612.0	early-S	0.124606541	0.648930825	30790179.07	1.154692835
1CDU_85	11	1CDU_2312	1CDU	0.272702454	0.015408943999999999	0.327482686	0.095273657	0.250659783	69631	0.44673676100000004	0.23290445699999998	1	2.598666356	0.31748219	1.2954558840000001	191.0	G1	0.149995232	0.599186294	22829049.28	1.143914614
1CDU_86	11	1CDU_2312	1CDU	0.246227964	0.024511638	0.17705349899999998	0.090938416	0.177223548	186004	0.363675559	0.313440085	1	2.49630967	0.595454875	0.650550842	503.0	early-S	0.130625329	0.6421870270000001	29397277.22	1.095127971
1CDU_87	11	1CDU_2312	1CDU	0.272184806	0.031790214	0.328518872	0.081880117	0.253876495	199328	0.622239506	0.330365377	1	2.20753685	0.49381461299999996	-0.192645078	1536.0	late-S/G2	0.083566785	0.81532238	23567642.15	1.254535255
1CDU_88	11	1CDU_2312	1CDU	0.253105215	0.018926963999999998	0.370681793	0.10691216699999999	0.230369128	103570	0.533378734	0.256055363	1	2.656494971	0.7979562240000001	0.16992500100000002	667.0	early-S	0.116747164	0.678846952	28788941.32	1.135748692
1CDU_91	11	1CDU_2312	1CDU	0.207360968	0.02826324	0.243396778	0.087225845	0.187707629	202440	0.367885054	0.5078631570000001	1	2.185562141	0.758649421	0.282399731	1523.0	late-S/G2	0.0808907	0.822325201	26972390.71	1.374021
1CDU_94	11	1CDU_2312	1CDU	0.277751075	0.017941733999999997	0.452575181	0.111464009	0.12145027900000001	73046	0.30009437699999997	0.332434695	1	2.388020434	0.491853096	1.08246216	1076.0	early-S	0.09574991	0.745846577	36972422.7	1.254424182
1CDU_95	11	1CDU_2312	1CDU	0.24079538600000003	0.016085276000000003	0.546002135	0.083502557	0.15622505	81746	0.348590181	0.03278306	1	2.442061554	0.5000736029999999	0.633872101	225.0	G1	0.151375371	0.56517014	27825658.61	1.1408360690000001
1CDU_97	11	1CDU_2312	1CDU	0.237920465	0.022095567000000003	0.275895977	0.08452360800000001	0.219432618	124131	0.350530502	0.253006838	1	2.2023694369999998	0.40585417700000004	-0.062735755	1356.0	late-S/G2	0.094188143	0.795333155	26606837.88	1.365241255
1CDU_98	11	1CDU_2312	1CDU	0.387982619	0.019492923	0.22294516399999997	0.052608075	0.276770125	80615	0.346811075	0.294811053	1	1.9140985469999998	0.181997834	0.054447784000000006	1505.0	late-S/G2	0.08812680099999999	0.81962536	27140278.8	1.3665640030000001
1CDU_102	11	1CDU_2312	1CDU	0.259165176	0.019136148000000002	0.147689469	0.073493878	0.303656137	98498	0.45486530399999997	0.23934228300000002	1	2.391987742	1.036069255	0.678071905	343.0	G1	0.146386671	0.607951768	29052632.88	1.099892101
1CDU_103	11	1CDU_2312	1CDU	0.412189735	0.01104617	0.323171369	0.057817529000000006	0.319405547	26722	0.287913239	0.047386287	1	2.5208523130000002	1.847996907	1.584962501	81.0	G1	0.190727938	0.526738512	20200436.42	1.1208508879999999
1CDU_105	11	1CDU_2312	1CDU	0.218971867	0.017148788999999998	0.34673009	0.12640253699999998	0.195441056	109088	0.529409854	0.22088412600000001	1	2.559968567	0.723668772	1.140177658	803.0	early-S	0.122010795	0.6772052159999999	30340750.56	1.231263739
1CDU_106	11	1CDU_2312	1CDU	0.240370787	0.014701978999999999	0.284380316	0.104905148	0.185909598	76593	0.481070056	0.264138695	1	2.640836185	0.641546029	1.169925001	539.0	early-S	0.132926454	0.6370279120000001	30438267.01	1.133202584
1CDU_107	11	1CDU_2312	1CDU	0.234700193	0.014079361	0.376946007	0.08965663800000001	0.21596230800000002	51753	0.38645100200000004	0.392209656	1	2.4161050459999998	0.8479969070000001	1.4329594069999998	1174.0	early-S	0.107166044	0.7499188440000001	26426314.87	1.315575623
